Job Number,Current Category,Recommended Category,Needs Change,Job Description Snippet,Amount,Status,Change Reason
440,No Category Assigned,Electrical,Yes,Electrical Specialist Report Please arrange a smoke alarm & RCD compliance testing including a written report/certificate,511.5000,Completed,Electrical testing and compliance work
446,No Category Assigned,Electrical,Yes,ETS0001728 Attend QML site 11 Riverview Pl Murarrie QLD 4172 Installation of Desk for Dr. Emily Jones - First Floor,1080.0000,Unsuccessful,Commercial electrical installation
489,Data Phone,Data Phone,No,WORK DETAILS : MS TEST ALARM The alarm test failed. Brisbane Histology Processors are not registering an alarm in despatch,275.0000,Completed,Correctly classified as data/communications work
558,Urgent,Urgent,No,Site Contact: Nadia Afif JOB DETAILS Electrical Stove top not working. Hot plates not working,220.0000,Completed,Correctly classified as urgent appliance failure
634,Make Safe,Make Safe,No,MARK STEPHEN MAKE SAFE electrical MS Special Instructions: NEW MAKE SAFE REQUEST - Water entry through roof,330.0000,Completed,Correctly classified as make safe work
646,Make Safe,Make Safe,No,ETS0005803 Cathy Heaton ELECTRICAL MAKE SAFE - electrical Box - it's unsecure and unsafe - there's water,330.0000,Completed,Correctly classified as make safe work
649,Make Safe,Make Safe,No,MELAINE ROWLISON ELECTRICAL MS required to secure electricals affected by water entry,330.0000,Completed,Correctly classified as make safe work
654,Make Safe,Make Safe,No,Ms. DANIELLE TIMOTEO ELECTRICAL MAKE SAFE Job Description Make Safe / Isolate electrics to area specified,330.0000,Completed,Correctly classified as make safe work
700,Make Safe,Make Safe,No,JOANNE WRIGHT MS ? HVAC Claim Lodgement Information I had a lightning strike last night in the driveway,330.0000,Unsuccessful,Correctly classified as make safe work
1160,Admin office time & Quotes,Admin office time & Quotes,No,NDIS certification Please utilise the below to complete the check: https://www.ndiscommission.gov.au/workers/worker-screening,0.0000,Work Order,Correctly classified as administrative work
1207,Solar Battery Standalone,Solar Battery Standalone,No,For full details please see attached Pylon quotes for: Supply & Install -10.56kW Solar system,29257.4300,Completed,Correctly classified as solar/battery work
1207A,Solar Battery Standalone,Solar Battery Standalone,No,Hi Darren For full details please see attached Pylon quotes for: Option 1: 10.56kW Solar system,3039.6500,Completed,Correctly classified as solar/battery work
1325,Level Two,Level Two,No,- Works required to reconnect Electricity supply to 90 Wanganui Rd - Reconnection due to severe storm damage,5232.0000,Unsuccessful,Correctly classified as Level Two service work
1330,Security CCTV Access control,Security CCTV Access control,No,Starlink,1901.6600,Completed,Correctly classified as telecommunications/security work
1373,Electrical,Electrical,No,Re-wire shed\n-Install new DB in shed\n-New underground cable run from house to shed\n-Install new lights & GPO's as required,6402.5000,Completed,Correctly classified as electrical rewiring work
1404,Solar Battery Standalone,Solar Battery Standalone,No,LYNN VANDERDONK: 0432 588 562 Solar Report Please attend to the Solar on the roof for assessment,220.0000,Completed,Correctly classified as solar assessment work
1408,Solar Battery Standalone,Make Safe,Yes,Attend Site: 35 Crabbes Creek Rd - Disconnected affected damaged panel - Make Safe $330+GST,330.0000,Completed,Contains 'Make Safe' work on damaged solar equipment
1524,Admin office time & Quotes,Admin office time & Quotes,No,Meeting with Donatella from ETS to discuss Sustaine Electrical taking on the Electrical works,0.0000,Completed,Correctly classified as administrative meeting
1587,Solar Battery Standalone,Make Safe,Yes,Redback 14.kW Battery add on to existing system. Battery installation and programming.,13328.8000,Unsuccessful,Job failed/unsuccessful - may have safety concerns requiring make safe
